family,model,trial,config,MAE,MAPE,RMSE,NRMSE,UPS
statistical,ARIMA,1,"{'primary': ((2, 1, 1), (0, 0, 0, 0)), 'fallback': ((1, 0, 0), (0, 0, 0, 0))}",268.2255489171403,4.413666236926012,699.1995457845713,0.12296492654156414,82.83084382245684
statistical,SARIMA,1,"{'primary': ((1, 0, 1), (1, 0, 0, 24)), 'fallback': ((1, 0, 0), (1, 0, 0, 24))}",114.70865907801344,2.180949410993104,399.2053123466658,0.0702063555442217,87.56409738820679
recurrent,LSTM,2,"{'hidden_dim': 48, 'num_layers': 2, 'dropout': 0.2}",220.45257568359375,4.524960715018349,565.5511474609375,0.09912482244332195,80.12812593603248
recurrent,GRU,2,"{'hidden_dim': 48, 'num_layers': 2, 'dropout': 0.2}",193.84481811523438,4.090542621549083,505.318359375,0.08856775001744172,82.08025202503471
grouped_neural,BiLSTM,3,"{'dropout': 0.2, 'hidden_scale': 1.25}",232.0937957763672,4.562292047550361,593.1325073242188,0.10395904019969554,79.26652522703772
grouped_neural,TFT,1,"{'dropout': 0.1, 'hidden_scale': 1.0}",112.87338256835938,2.536766570301368,301.80426025390625,0.05289759174677105,88.136605339434
grouped_neural,Hybrid,2,"{'dropout': 0.2, 'hidden_scale': 1.0}",151.82363891601562,3.681801238619813,403.5207214355469,0.07072555690864808,84.41388174284516
