model,MAE_mean,MAE_std,MAPE_mean,MAPE_std,RMSE_mean,RMSE_std,NRMSE_mean,NRMSE_std,UPS_mean,UPS_std
Hybrid,119.340248,5.239718,2.671338,0.206268,319.91215,7.744239,0.057784,0.001399,88.291904,0.852501
TFT,109.437826,2.930276,2.352528,0.222515,296.429311,9.86301,0.053525,0.001781,89.259196,0.534349
