model,traffic_flow,aqi,temperature,electricity_demand
ARIMA,79.70620975406439,79.66986318846814,95.248135215497,89.15559224927995
SARIMA,85.49639517869878,83.130709493029,95.22473141754026,88.89258616946977
LSTM,84.69940455651192,82.27116705736424,84.89507617355277,90.04576234511104
GRU,87.69852289448835,84.7465349629156,86.56004179233715,91.90798778391854
BiLSTM,85.49038391759115,79.36406441681092,74.97865327626596,87.21184474109607
TFT,91.29775359696305,88.4510543628314,88.91530290643013,93.64622286513634
Informer,76.19158683681144,74.32273261565139,78.88415641996002,79.49164646809851
PatchTST,81.21969284244398,79.73828641724889,83.27365499073343,83.40259779300754
Hybrid,93.72984805994172,89.01103491083906,89.9364218191286,93.93830202229196
