model,traffic_flow,aqi,temperature,electricity_demand
BiLSTM branch only,1016.3583984375,6.949034690856934,0.4499955475330353,1.8726924657821655
TFT branch only,1242.7525634765625,10.106732368469238,0.41081544756889343,2.5451762676239014
Hybrid without gating,426.44732666015625,3.240518093109131,0.395445853471756,1.5644603967666626
Hybrid with gating,523.022705078125,3.27482533454895,0.31007590889930725,1.3260308504104614
Adaptive switcher,514.7300429128434,3.2748251081650426,0.31007593013426454,1.3260309953768827
