trial,seq_len,d_model,heads,layers,ff_dim,patch_len,stride,batch_size,dropout,learning_rate,val_MAE,val_MAPE,val_RMSE,val_NRMSE,val_UPS,checkpoint_path
1,12,32,4,1,96,4,2,128,0.1,0.0005,215.2630157470703,4.531802417238972,582.6488037109375,0.10207644752079363,79.03434474612547,outputs/checkpoints/project_best_patchtst_trial_1.pt
2,16,48,4,1,128,4,2,128,0.1,0.0003,369.1030578613281,5.755633902363823,955.3846435546875,0.16731938672230676,74.0177303709727,outputs/checkpoints/project_best_patchtst_trial_2.pt
