,MAE,MAPE,RMSE,NRMSE,UPS
BiLSTM,184.06948852539062,4.645923363893177,465.44781494140625,0.08405510307817352,92.24623334741018
TFT,91.25911712646484,2.1588812019060613,261.3070068359375,0.04718291002257359,95.49430098877794
Hybrid,56.080604390350885,1.5769767314075274,183.39675759310006,0.03311504272272229,96.79464131744233
Informer,326.0994567871094,6.5614966431336255,856.6414794921875,0.1546795026199252,86.60411808913528
PatchTST,239.54861450195312,4.866183645861709,634.1113891601562,0.11451401525133496,89.72520635144183
