model,MAE,MAPE,RMSE,NRMSE,UPS
Hybrid,72.0799331665039,1.899978886729696,214.1963348388672,0.03867636967045685,89.9696342318103
TFT,91.25911712646484,2.1588812019060613,261.3070068359375,0.04718291002257359,89.53998749962317
GRU,143.5352783203125,3.0390278705620997,384.541259765625,0.06943470777605368,85.91071292436844
BiLSTM,184.06948852539062,4.645923363893177,465.44781494140625,0.08405510307817352,77.24788771068536
