trial,closeness_len,period_len,trend_len,bilstm_hidden_dim,tft_hidden_dim,tft_heads,tft_layers,tft_ff_dim,dense_hidden_dim,dropout,batch_size,learning_rate,val_MAE,val_MAPE,val_RMSE,val_NRMSE,val_UPS,checkpoint_path
1,4,8,4,16,32,2,1,96,96,0.1,64,0.0005,133.4460906982422,2.980565062664607,358.44305419921875,0.06279002784781558,85.36126225777878,outputs/checkpoints/project_best_hybrid_trial_1.pt
3,4,8,4,16,32,2,1,96,96,0.1,64,0.0005,142.40077209472656,3.0751990743735518,374.6849365234375,0.06563518897310783,84.85789777006451,outputs/checkpoints/project_best_hybrid_trial_3.pt
2,4,8,4,16,32,2,1,96,128,0.05,64,0.0007,156.9132843017578,3.1295314645512446,384.8744201660156,0.06742012511338731,84.99901081125469,outputs/checkpoints/project_best_hybrid_trial_2.pt
