model,traffic_flow,aqi,temperature,electricity_demand
ARIMA,11.914454218449453,5.371433477957061,0.40521736160350846,0.4726530193659506
SARIMA,6.387218693596136,3.0283370264396114,0.3739265002894731,0.39768732284269326
LSTM,8.850601586666839,4.912125914374297,1.3014794979857087,0.5431251204983779
GRU,6.659781925026261,3.968727320392749,1.1066532205717388,0.4209490162576496
BiLSTM,9.174340217466884,6.202313872814065,2.48214543691382,0.724893928377938
TFT,4.753222696254852,2.6228710468184637,0.9104840971943937,0.3489469673565347
Informer,14.849645094419754,8.063595960016597,2.029944188166654,1.3028013299314944
PatchTST,11.428636551420427,5.52060599863297,1.4665046708641447,1.048987362529294
Hybrid,2.74893877157214,2.429057033797621,0.8100428514716701,0.31986826878867897
