model,MAE,MAPE,RMSE,NRMSE,UPS
BiLSTM branch only,256.4075622558594,5.147858717591657,672.2183227539062,0.12137912803056465,76.54004157538853
TFT branch only,313.9538269042969,6.114165316296335,826.5907592773438,0.14925339313599265,72.59806889019497
Hybrid without gating,107.91194152832031,2.677179858261815,304.5617370605469,0.05499320209606481,85.88471524322811
Hybrid with gating,131.98341369628906,2.808203501166866,353.46832275390625,0.0638240216757704,86.9734036583598
Adaptive switcher,129.9102437366299,2.796794259516626,347.1415861036942,0.06268163422233752,87.03110239445502
