model,traffic_flow,aqi,temperature,electricity_demand
ARIMA,1395.9392654525377,7.929145316946595,0.1295610786874126,2.1469642838557763
SARIMA,930.0872012854358,6.3054411631554474,0.130231190177727,2.2055402185873914
LSTM,990.4293212890625,6.695956707000732,0.4620649516582489,1.9512468576431274
GRU,769.0604858398438,5.592766284942627,0.40322497487068176,1.5540709495544434
BiLSTM,1344.4013671875,9.284364700317383,0.593095600605011,2.9303555488586426
TFT,1653.1319580078125,12.370427131652832,0.5499679446220398,3.259700298309326
Informer,694.2659912109375,5.314011096954346,0.40761134028434753,2.431166887283325
PatchTST,1825.2647705078125,11.95460319519043,0.909801721572876,5.429694652557373
Hybrid,706.9197998046875,4.591342449188232,0.3986765146255493,1.603601098060608
AdaptiveSwitcher,694.2660241615356,4.591342507285171,0.3986764939718342,1.6036010483006815
