dense_hidden_dim,dropout,ensemble_error_window,hybrid_MAE,hybrid_RMSE,ensemble_MAE,ensemble_RMSE,ensemble_NRMSE,ensemble_UPS,checkpoint_path
96,0.1,72,191.13296508789062,482.28155517578125,186.48595652962533,464.6813049208478,0.08130088432715159,56.43869308663652,outputs/checkpoints/hybrid_d96_do01_ew72.pt
64,0.2,72,306.7362976074219,751.3889770507812,230.1327261607139,558.9528455265933,0.09779468241406968,43.61333189286945,outputs/checkpoints/hybrid_d64_do02_ew72.pt
96,0.2,48,322.17376708984375,783.291015625,234.74943110611653,569.4403951491831,0.09962958958531187,53.02049078676794,outputs/checkpoints/hybrid_d96_do02_ew48.pt
64,0.1,48,294.2912292480469,708.1776733398438,236.03674896641323,571.6287732297804,0.10001246935970912,43.31681958122889,outputs/checkpoints/hybrid_d64_do01_ew48.pt
32,0.2,48,278.76849365234375,701.4873657226562,235.14461800146094,576.3371117007443,0.1008362427229739,43.994414308518095,outputs/checkpoints/hybrid_d32_do02_ew48.pt
32,0.2,72,331.3582763671875,802.1070556640625,236.1963999039499,585.8115160052913,0.1024938894590823,72.56465059157362,outputs/checkpoints/hybrid_d32_do02_ew72.pt
32,0.1,72,320.84796142578125,797.4159545898438,237.9494780439566,586.6596411689036,0.10264227788162393,54.38350954632282,outputs/checkpoints/hybrid_d32_do01_ew72.pt
96,0.2,72,327.709228515625,820.987060546875,238.23282150314935,587.3251138445992,0.10275870932927778,54.25749850230886,outputs/checkpoints/hybrid_d96_do02_ew72.pt
64,0.1,72,339.9696960449219,842.1170654296875,240.27867606176773,596.8603866342863,0.1044270056474054,69.84241384118951,outputs/checkpoints/hybrid_d64_do01_ew72.pt
64,0.2,48,297.6280212402344,737.2861938476562,257.63232913645675,619.0267960753374,0.10830525224530145,42.95145705718599,outputs/checkpoints/hybrid_d64_do02_ew48.pt
32,0.1,48,289.0646667480469,721.7470703125,261.5895997771468,633.3991193247305,0.11081984144361312,52.06166141470694,outputs/checkpoints/hybrid_d32_do01_ew48.pt
96,0.1,48,365.3921203613281,866.3457641601562,263.52783001926406,640.2815376169049,0.112023992950329,72.03753129798851,outputs/checkpoints/hybrid_d96_do01_ew48.pt
