model,traffic_flow,aqi,temperature,electricity_demand
ARIMA,1053.5240254916685,5.895092301383227,0.10309800397729672,1.2870314928936093
SARIMA,534.6763192028887,3.2066326749444487,0.09513597192398533,1.069213064958849
LSTM,751.5086669921875,5.113555431365967,0.33253493905067444,1.4785754680633545
GRU,568.651611328125,4.0647430419921875,0.2827732563018799,1.1420098543167114
BiLSTM,1016.3583984375,6.949034690856934,0.4499955475330353,1.8726924657821655
TFT,1242.7525634765625,10.106732368469238,0.41081544756889343,2.5451762676239014
Informer,514.7300415039062,3.962019681930542,0.2973790466785431,1.9987525939941406
PatchTST,1377.7374267578125,9.51060676574707,0.6988069415092468,4.510090351104736
Hybrid,523.022705078125,3.27482533454895,0.31007590889930725,1.3260308504104614
AdaptiveSwitcher,514.7300429128434,3.2748251081650426,0.31007593013426454,1.3260309953768827
