trial,seq_len,d_model,heads,layers,ff_dim,patch_len,stride,batch_size,dropout,learning_rate,val_MAE,val_MAPE,val_RMSE,val_NRMSE,val_UPS,checkpoint_path
2,16,48,4,1,128,4,2,128,0.1,0.0003,224219.59375,37.718589598116296,530586.0625,0.6029767569185694,0.0,outputs/delhi/checkpoints/project_best_patchtst_trial_2.pt
1,12,32,4,1,96,4,2,128,0.1,0.0005,324662.15625,35.911540666748145,764153.25,0.5226570522456262,0.0,outputs/delhi/checkpoints/project_best_patchtst_trial_1.pt
