,MAE,MAPE,RMSE,NRMSE,UPS
LSTM,126195.4453125,6.391536962500974,281345.875,0.14283442197427723,87.50173960217904
GRU,173753.171875,8.430101386638388,377883.21875,0.19184475736115061,83.90354480512111
