Model,MAE,MAPE,RMSE,NRMSE,UPS
BiLSTM,546539.50,33.40%,1125092.62,0.5767,63.43
TFT,119678.40,15.05%,294487.44,0.1495,86.99
Hybrid,73862.06,3.69%,244730.93,0.1242,88.95
Informer,386107.88,16.29%,814420.06,0.4174,70.55
PatchTST,482896.47,20.38%,1012825.81,0.5368,65.07
LSTM,126195.45,6.39%,281345.88,0.1428,87.50
GRU,173753.17,8.43%,377883.22,0.1918,83.90
