trial,seq_len,d_model,heads,layers,ff_dim,batch_size,dropout,learning_rate,val_MAE,val_MAPE,val_RMSE,val_NRMSE,val_UPS,checkpoint_path
2,12,48,4,1,128,128,0.1,0.0003,334386.375,37.699798787374334,758363.0625,0.5186967441128014,0.0,outputs/delhi/checkpoints/project_best_informer_trial_2.pt
1,8,32,4,1,96,128,0.1,0.0005,413194.78125,30.685232246339467,901362.0625,0.5473761314064074,0.0,outputs/delhi/checkpoints/project_best_informer_trial_1.pt
