model,MAE,MAPE,RMSE,NRMSE,UPS
Hybrid,73862.06243154468,3.6851497036663026,244730.9297438046,0.12424564447629569,88.94853228146837
LSTM,126195.4453125,6.391536962500974,281345.875,0.14283442197427723,87.50173960217904
TFT,119678.3984375,15.045397389542464,294487.4375,0.14950616537028877,86.99387877383602
GRU,173753.171875,8.430101386638388,377883.21875,0.19184475736115061,83.90354480512111
