,MAE,MAPE,RMSE,NRMSE,UPS
BiLSTM,546539.5,33.40294395081578,1125092.625,0.5766522990024877,63.42552512260803
TFT,119678.3984375,15.045397389542464,294487.4375,0.14950616537028877,86.99387877383602
Hybrid,73862.06243154468,3.6851497036663026,244730.9297438046,0.12424564447629569,88.94853228146837
Informer,386107.875,16.293795070764034,814420.0625,0.4174209224723829,70.55067299667887
PatchTST,482896.46875,20.37547515268328,1012825.8125,0.5367555478894296,65.07215811736575
