model,traffic_flow,aqi,temperature,electricity_demand
BiLSTM,4.201829356877515,8.485363502660249,2.6410979781398747,3.5141315970960134
TFT,1.2310171898720104,5.396196567259967,1.752806857833466,2.766486849444973
Hybrid,1.023025284693368,1.3324018155086426,0.36447572247937066,0.5842093784573197
Informer,3.0415752345974054,3.006197374818929,1.3446172491408237,2.52593050626
PatchTST,3.2318335070428406,3.2261851307846325,3.8922062138527367,2.052445990303081
LSTM,1.1760830382215524,1.151468586323046,1.0130251099324699,1.9295072356393328
GRU,1.5796288344772982,1.5943414400642502,1.6708016176541751,2.061476461264858
