model,seed,MAE,MAPE,RMSE,NRMSE,UPS
Hybrid,42,125.17396545410156,2.8637898696979667,328.41070556640625,0.05931920885832399,87.37420824496247
Hybrid,52,117.81279754638672,2.6966349261456455,318.0720520019531,0.0574517887660163,89.0591911590925
Hybrid,62,115.03398132324219,2.453587953106822,313.2536926269531,0.05658147223468662,88.44231116667989
TFT,42,112.63615417480469,2.2534046266955703,301.45513916015625,0.054432259123332064,89.06364907958971
TFT,52,106.8823471069336,2.1967997735917777,285.0657043457031,0.0514729001779491,89.86377288704617
TFT,62,108.79497528076172,2.6073783879913113,302.76708984375,0.05466915155039554,88.85016621904886
