model,traffic_flow,aqi,temperature,electricity_demand
BiLSTM,0.6701235591728489,1.5674024300246958,1.6530735475773228,0.7202879069708815
TFT,0.4475661831916,2.160636495558632,1.1687290126143939,0.5698837246375902
Hybrid,0.1276746780316829,0.23274095667522474,0.265622583081275,0.1763394787347262
Informer,1.0993733943255786,1.4899018000221114,1.6296681978952858,0.9832048243257488
PatchTST,0.8545368298061243,2.0150057048849646,1.5919795044865648,1.1184443493253529
LSTM,0.6115489723178655,12.227334697921405,3.7934473900151375,0.9603904488803012
GRU,0.9626922950860248,9.96558688582882,3.0497247568940398,1.4827542939660066
