model,traffic_flow,aqi,temperature,electricity_demand
BiLSTM,59.87580945779026,38.94987354944511,37.69213261777679,58.129804665128454
TFT,69.0814700986725,31.63919676954984,46.10995630083374,63.698985109922795
Hybrid,88.67805755339522,81.12004347588638,79.01249656634663,85.00947371719622
Informer,47.63326060542217,40.16222647781208,38.0276112705159,50.423435226363
PatchTST,53.92181939598047,33.16743309572458,38.580551978480486,47.20444982746247
LSTM,62.05210125024719,7.560102037465975,20.861812358325313,51.010246482845346
GRU,50.950421648043914,9.119438935752104,24.693036194562413,40.27784797031114
