model,traffic_flow,aqi,temperature,electricity_demand
BiLSTM,2653.458984375,3.865171432495117,0.8470746874809265,483.246337890625
TFT,1840.497314453125,4.693873882293701,0.5586230754852295,386.40496826171875
Hybrid,459.79253762376237,0.1001717623762375,0.031018998019801798,109.47362633663369
Informer,4467.07763671875,3.3112144470214844,0.8783005475997925,663.4189453125
PatchTST,3512.442138671875,4.853845119476318,0.8307873010635376,776.997314453125
LSTM,2751.712646484375,33.21055221557617,2.2692818641662598,650.6724243164062
GRU,4704.83056640625,25.959169387817383,1.8263388872146606,1076.5140380859375
