model,traffic_flow,aqi,temperature,electricity_demand
BiLSTM branch only,1344.4013671875,9.284364700317383,0.593095600605011,2.9303555488586426
TFT branch only,1653.1319580078125,12.370427131652832,0.5499679446220398,3.259700298309326
Hybrid without gating,609.1023559570312,4.651792526245117,0.498750776052475,1.9726495742797852
Hybrid with gating,706.9197998046875,4.591342449188232,0.3986765146255493,1.603601098060608
Adaptive switcher,694.2660241615356,4.591342507285171,0.3986764939718342,1.6036010483006815
