model,MAE,MAPE,RMSE,NRMSE,UPS
Hybrid,142.34933868019803,2.110243283335784,348.4400517354604,0.06519409607686423,93.87960407244317
SARIMA,143.33718065484743,2.0290227273241204,404.1087842037693,0.0756098696029863,92.97051173108942
ARIMA,302.87041600108086,3.8742183297536656,691.82998873399,0.1294433016067176,88.53919436039199
Informer,376.488836572666,7.438600858213759,785.3400456745985,0.1469392915188847,87.18857287343484
